Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	20300.336	8901.49	17532.275	12197.69
100	22901.436	10011.75	26020.074	10538.29
150	48431.074	20082.195	24016.244	11206.235
200	82991.63	35267.65	17589.404	14901.095
250	125066.62	53174.496	26221.65	19125.38
300	175117.95	74437.63	37328.645	23962.02
350	233502.2	99988.28	49845.22	28709.955
400	299831.1	127761.06	64152.0	34477.824
450	377142.12	159672.38	80131.79	38748.715
500	457479.97	195490.58	97895.67	43320.63
550	550830.8	234677.23	118081.72	48634.184
600	650223.4	278146.62	140485.2	53406.16
650	761755.4	324838.72	163352.06	58254.81
700	876236.9	373927.12	187097.48	63163.7
750	999287.6	427608.8	214274.44	67782.16
800	1133705.4	483886.7	241806.52	73024.99
850	1272323.6	546430.7	273490.47	78263.33
900	1421610.9	609657.44	305553.88	83840.164
950	1583365.6	676473.7	340213.62	89320.57
1000	1749758.2	748357.2	376716.38	93909.07
